MSOA_code,number_measured,number_obese,obesity_rate,overcrowded_percent,lone_parent_percent,long_commute_percent,social_housing_percent,unemployment_rate,inactive_rate,nonwhite_percent,higher_education_percent,average_household_size,percent_age_10_11
E02000048,251.0,36.0,14.342629482071716,5.949367088607595,10.301189572260188,33.44316309719934,5.291139240506329,6.041181041181041,28.581153359914424,43.08365758754864,53.703474712501546,2.601772151898734,2.5875486381322954
E02000049,345.0,98.0,28.40579710144928,19.34210526315789,21.43608627038401,38.66666666666666,50.60494476591268,9.916715088127058,27.11993163042446,63.663121914166354,41.88279301745636,2.748421052631579,3.1327131194228213
E02000050,300.0,60.0,20.0,10.161090458488228,14.098116947472745,28.1875915974597,25.08676251859197,8.516177017478617,28.7820389285026,41.84096385542168,49.69515839808727,2.5642042637580564,2.843647580489685
E02000051,183.0,24.0,13.114754098360656,7.519788918205805,8.832059056156078,30.06410256410256,5.379746835443038,8.454564621547544,30.040388603864205,39.20069884254204,55.51107552708834,2.4004745583970477,2.423580786026201
E02000052,203.0,34.0,16.748768472906402,6.682577565632458,10.469830670164558,24.50873362445415,16.125954198473284,6.475738781466618,25.2234863876473,32.07106598984771,61.23933768188661,2.3509064885496183,2.469261253937608
E02000053,198.0,47.0,23.737373737373737,,,,,,,,,,
E02000054,175.0,40.0,22.857142857142858,11.447811447811448,10.097610232245035,36.24042427813789,6.226859643217772,6.937974993871047,28.06028833551769,47.37118132948735,49.55794888281627,2.5520026926960617,2.570828961175236
E02000055,227.0,39.0,17.180616740088105,12.749445676274943,10.94582593250444,30.057803468208093,12.08083499888963,9.032258064516128,26.795156063448744,39.46784922394679,46.287519747235386,2.5716822015090988,2.69417682666894
E02000056,142.0,16.0,11.267605633802818,3.0523255813953485,7.526881720430108,19.907763259031512,6.044754431851207,4.545454545454546,29.963859380133613,30.084328113021574,64.37899416504584,2.626670540383498,2.739425816348893
E02000057,208.0,32.0,15.384615384615383,9.814814814814817,10.650887573964498,23.47525891829689,7.837338262476895,7.452928870292887,26.332210158492448,32.05288101771015,45.4759898904802,2.934589800443459,3.406963684013478
E02000058,229.0,34.0,14.847161572052403,5.121951219512195,8.201122772760556,21.189801699716718,5.833536734195753,5.067837190742218,28.82565757309084,31.20844739929605,55.91154667671818,2.48670407416443,2.5718756111871697
E02000059,246.0,46.0,18.69918699186992,14.656144306651631,10.657954033348355,33.17631224764469,16.23815967523681,7.078151389528635,26.75038706347841,53.5907800808463,43.18370739817124,2.614205186020293,2.0894239036973348
E02000060,312.0,46.0,14.743589743589745,9.34959349593496,7.52571737953438,15.909090909090908,8.414502164502165,5.231143552311435,26.50341784200052,30.38325114629293,39.71985992996498,3.047116165718928,3.8478166882836153
E02000061,94.0,8.0,8.51063829787234,5.322128851540616,7.166853303471445,17.394270122783084,3.638399104394067,5.729049651763648,29.148681055155876,38.2099209202013,60.65050094380717,2.2963895885810244,2.395783421178725
E02000062,191.0,38.0,19.895287958115183,16.091954022988507,17.649310872894333,20.6126356094448,27.390971690895174,9.689585146504209,28.982173663024728,57.58620689655173,39.45105215004575,2.648814078041316,3.083321382475262
E02000063,173.0,33.0,19.07514450867052,11.46384479717813,14.02331331684917,18.87043189368771,7.868736767819337,8.506666666666666,30.762130801687764,54.36560274333949,44.33853738701725,2.644546417225556,2.476290832455216
E02000064,122.0,22.0,18.0327868852459,10.507246376811594,18.030412744388123,18.44135802469136,24.800868935553947,7.878787878787878,28.01917890320647,46.03174603174603,50.55295220243674,2.386314265025344,2.4517865151741662
E02000065,370.0,102.0,27.56756756756757,16.936936936936934,22.182211019085344,48.598130841121495,28.89048991354467,10.37854098771622,24.209351358055315,66.00918000248109,40.84175084175084,2.8854466858789625,3.619236489836391
E02000066,411.0,109.0,26.52068126520681,13.399153737658676,20.08462623413258,41.863406408094434,49.02734705384832,9.415371140792644,28.457785320322444,54.899257688229056,35.13439007580978,2.6442063715816184,3.2435870256518973
E02000067,327.0,87.0,26.605504587155966,11.91969887076537,17.996987951807228,39.69322858211747,20.185789605824755,7.324364723467862,24.92665753960493,41.47104851330204,34.48014166455856,2.565905096660809,2.588396171127173
