MSOA,average_household_size
E02000262,2.3388241256969082
E02000263,3.6776406035665294
E02000264,2.356759808072255
E02000265,2.342488907669554
E02000266,2.9771880819366854
E02000267,2.522833178005592
E02000268,2.365260160497023
E02000269,2.456554647290342
E02000270,2.329608938547486
E02000271,2.3297515110812625
E02000272,2.6186540731995276
E02000275,3.38005965061781
E02000276,2.476505139500734
E02000277,2.834411876665398
E02000278,2.796346211440551
E02000279,2.7748074309016766
E02000280,2.51333138001758
E02000281,2.665257819103973
E02000282,2.837276399307559
E02000283,3.038543897216274
E02000284,2.407294832826748
E02000285,2.6983739837398373
E02000286,2.1575
E02000287,2.531152105812739
E02000288,3.068097705403405
E02000289,2.7875412541254128
E02000290,2.647082175466455
E02000291,2.302540415704388
E02000292,2.75034984606773
E02000293,2.561171279582832
E02000294,3.01360103626943
E02000295,2.5649059982094897
E02000296,2.506930693069307
E02000297,2.6641726618705035
E02000298,2.657722513089005
E02000299,2.8452021726010863
E02000300,2.9039679893297765
E02000301,2.731812080536913
E02000302,2.7699711260827717
E02000303,2.7904473595694586
E02000304,2.7269601100412655
E02000305,2.5146249637995948
E02000306,2.6723529411764706
E02000307,3.00807657792402
E02000308,2.693118412895226
E02000309,2.928266867318786
E02000311,2.8844566712517192
E02000312,2.5034467422726263
E02000313,2.4930609097918275
E02000314,2.798500881834215
E02000315,2.812034383954155
E02000317,2.6343971631205676
E02000318,2.9726333426417204
E02000319,2.680275580505231
E02000320,2.696708463949843
E02000321,2.5745688197497465
E02000323,2.6390041493775933
E02000324,2.705222572730459
E02000326,2.5382092489340766
E02000327,2.469449715370019
E02000328,2.195519348268839
E02000329,2.5662063363119416
E02000331,2.5537449075524914
E02000332,2.4673550966022653
E02000333,2.140825528962886
E02000334,2.6034618410700237
E02000335,2.5698302469135803
E02000337,2.740680713128039
E02000339,2.425868725868726
E02000340,2.271764316451506
E02000341,2.7024821489289357
E02000342,2.4562152926099956
E02000343,2.6066121842496286
E02000344,2.593137254901961
E02000345,3.0668728256667954
E02000346,2.3333333333333335
E02000347,2.994579945799458
E02000348,2.910124724871607
E02000350,2.722523010286952
E02000351,2.181947069943289
E02000352,2.4491620111731844
E02000353,2.4480025364616362
E02000354,2.3893206317372777
E02000355,2.5850995504174694
E02000356,2.297226753670473
E02000357,2.5130466740169055
E02000358,2.29547342192691
E02000359,2.73264887063655
E02000360,2.368605610561056
E02000361,2.1873300706905927
E02000362,2.4040656205420827
E02000363,2.5075501464953796
E02000364,2.243170731707317
E02000366,2.323346523459582
E02000367,2.2357422725293863
E02000368,2.3809638554216868
E02000369,2.261595547309833
E02000370,2.2088132198297448
E02000372,2.3324735620324994
E02000373,2.76271186440678
E02000374,2.5540695452808557
E02000375,2.125858123569794
E02000376,2.1033291457286434
E02000377,2.196749854904237
E02000378,1.9729314057213165
E02000379,2.3356958762886597
E02000380,2.1977582065652523
E02000381,2.136171412461235
E02000382,2.1352813852813854
E02000383,2.0236067169627647
E02000384,2.1153138954557393
E02000385,1.9610662925289373
E02000386,2.245025245025245
E02000387,2.2794742945496713
E02000388,2.083716428744254
E02000389,2.3466557911908645
E02000390,2.270319970577418
E02000391,2.298384638829625
E02000392,2.275426874536006
E02000393,2.3075734157650696
E02000394,2.12080073630925
E02000395,2.1515151515151514
E02000396,2.4871887405268858
E02000397,2.275762809441566
E02000398,2.5963207219715376
E02000400,2.5543095161807114
E02000401,2.7678643520387567
E02000402,2.6644682605111294
E02000403,2.4993311036789296
E02000404,2.659159159159159
E02000405,2.619821283509342
E02000406,2.592378752886836
E02000407,2.5064891846921795
E02000408,2.703333333333333
E02000409,2.545761282159426
E02000410,2.3855559801299195
E02000411,2.6474456246838645
E02000412,2.4170731707317072
E02000413,2.5892676341545733
E02000414,2.5976461934534756
E02000415,2.5489781536293163
E02000416,2.1539050535987747
E02000417,2.257063132193931
E02000418,2.4570135746606336
E02000419,2.392974753018661
E02000420,2.3159580663948747
E02000421,2.540764331210191
E02000422,2.5569401176877813
E02000423,2.568436798803291
E02000424,2.2397856664434026
E02000425,3.6426259824318077
E02000426,2.3498723093761402
E02000427,2.303135888501742
E02000428,2.7847103188207063
E02000429,2.122735790131168
E02000430,2.1218836565096955
E02000431,2.0541871921182264
E02000432,2.172623302358828
E02000433,2.3820541760722347
E02000434,2.679042904290429
E02000435,2.8447050461975834
E02000436,2.805677924620656
E02000437,2.780187763030107
E02000438,2.7707717569786534
E02000439,3.1204206241519676
E02000440,3.12729057591623
E02000441,2.6531853972798856
E02000442,3.5256650430872987
E02000443,3.0025373555117
E02000444,3.2314328582145535
E02000445,2.9981675392670155
E02000447,2.979591836734694
E02000448,2.537151141718014
E02000449,3.2493074792243766
E02000451,2.8578789179905537
E02000452,2.709527946713003
E02000453,2.7435224663824203
E02000454,2.901307966706302
E02000455,2.4117276166456496
E02000456,2.8568273831431727
E02000457,2.7427790788446527
E02000459,2.719426565242832
E02000460,3.0053874844591792
E02000461,2.487309644670051
E02000462,3.0411378555798687
E02000463,3.0599858856739592
E02000464,2.662138627655869
E02000465,2.6728677733257014
E02000466,2.6993622836319466
E02000467,2.6658894847283747
E02000468,2.709096651926721
E02000469,2.6622172784575455
E02000470,2.352143376120126
E02000471,2.6555593335600136
E02000472,2.674510915792458
E02000473,2.5969666832421683
E02000474,2.5823895809739525
E02000475,2.393633148054573
E02000476,2.207717960933778
E02000477,2.56297093649085
E02000478,2.745817843866171
E02000479,2.469904963041183
E02000480,2.715026940730393
E02000481,2.5161887141535617
E02000482,2.550814584949573
E02000483,2.2943548387096775
E02000484,2.60405779280664
E02000485,2.4494642339994206
E02000486,2.436935429909669
E02000487,2.654656696125085
E02000488,2.50580816461998
E02000489,2.6441924609255287
E02000490,2.6232558139534885
E02000491,2.6896288764616165
E02000492,2.5901639344262297
E02000493,2.694833800560673
E02000494,2.428393524283935
E02000495,2.4028810408921935
E02000496,2.408690176322418
E02000497,2.5553750338478203
E02000498,2.4158453373768007
E02000499,2.557730590577306
E02000500,2.490018148820327
E02000501,2.5726939523518633
E02000502,2.510198300283286
E02000503,2.6676904176904177
E02000504,2.6148579253680246
E02000506,2.719655172413793
E02000507,2.9406047516198703
E02000508,2.411656300391615
E02000509,2.4824948514268903
E02000510,2.7301441275682308
E02000511,3.0147148988350705
E02000512,2.818474412616672
E02000513,2.9301415236374586
E02000514,3.3377358490566036
E02000515,2.4809131736526946
E02000516,3.045809659090909
E02000517,3.096356519120747
E02000518,2.885619933953768
E02000519,3.1353408338848445
E02000520,3.1074955116696588
E02000521,2.9963226844403583
E02000522,2.7127293577981653
E02000523,3.0643497149063266
E02000524,2.7608942781356576
E02000525,3.017781796262809
E02000526,2.3403314917127074
E02000529,3.182866556836903
E02000530,3.198807157057654
E02000531,2.3292806484295845
E02000532,2.3491356731272917
E02000533,2.2752169197396963
E02000534,2.814271423807936
E02000535,3.310585885486019
E02000536,3.2786683107274968
E02000537,3.0881141045958795
E02000538,3.335773710482529
E02000539,2.5606252640473173
E02000540,2.6877646534432804
E02000541,3.1807375800060957
E02000542,3.0452935222672064
E02000543,2.836880884158821
E02000544,2.923366404379063
E02000545,2.58032694475761
E02000546,3.2254901960784315
E02000547,2.8393042575285565
E02000548,2.80531686358754
E02000549,2.978937056086211
E02000550,2.874798495432563
E02000551,2.8436768149882905
E02000552,2.6808573980351293
E02000553,2.731257208765859
E02000554,2.210526315789474
E02000555,2.3520952144805354
E02000556,2.2188320872903615
E02000557,2.0876599855107463
E02000558,2.3409148344705586
E02000559,2.3644789579158316
E02000560,2.2042188933048
E02000561,2.2519011406844105
E02000562,2.214797820476054
E02000563,2.2210990150336962
E02000564,2.110699152542373
E02000565,2.3761441647597255
E02000566,2.226503514709711
E02000567,2.123212096444626
E02000568,2.230900920179756
E02000569,2.1564537157757497
E02000570,2.07189378757515
E02000571,2.153323629306162
E02000572,2.4406923950056756
E02000573,2.0491769965454174
E02000574,1.9667036625971144
E02000575,1.9928447108876426
E02000576,2.0759135877246115
E02000577,2.3448818897637795
E02000578,2.508445214378519
E02000579,2.3418848167539266
E02000580,1.9744232698094284
E02000581,2.445219123505976
E02000582,1.8596330275229358
E02000583,2.0647228452419095
E02000584,2.146246246246246
E02000585,2.3528196043696488
E02000586,2.220138888888889
E02000587,2.1370994383878426
E02000588,1.9437764055898603
E02000589,1.904397705544933
E02000590,1.941581883820151
E02000591,1.8756556618327678
E02000592,1.9710962284102926
E02000593,1.9780189959294436
E02000594,2.0438056125941135
E02000595,1.9900957411687026
E02000596,2.077499185932921
E02000597,2.1137804471137804
E02000598,2.721212121212121
E02000599,2.842395921835174
E02000600,2.4558910597986974
E02000601,2.4495677233429394
E02000602,2.383930778739184
E02000603,2.8367761598374535
E02000604,2.589160348216793
E02000605,2.6657032755298653
E02000606,2.1010184992725005
E02000607,2.468653250773994
E02000608,1.9647577092511013
E02000609,2.7579524680073124
E02000610,2.0147286821705426
E02000611,2.7989437947944174
E02000612,2.6483587910302244
