MSOA,social_housing_percent
E02000155,8.355263157894736
E02000156,5.306458247634718
E02000157,1.951219512195122
E02000158,21.03527860204418
E02000159,2.7649769585253456
E02000160,3.418803418803419
E02000161,2.4514200298953663
E02000162,16.829679595278247
E02000163,6.388526727509778
E02000165,4.560379423568041
E02000166,35.84683357879234
E02000167,9.392592592592592
E02000168,28.133943903835146
E02000169,8.820614469772051
E02000170,11.842865395725015
E02000171,26.876876876876878
E02000172,55.42616451932606
E02000173,16.699971453040252
E02000174,42.438749647986484
E02000175,21.095381759108843
E02000176,10.233333333333333
E02000177,46.60645867542419
E02000178,32.02112337974076
E02000179,29.344841114162417
E02000180,38.816163915765515
E02000181,17.524673246198986
E02000182,20.856308790139476
E02000183,32.52212389380531
E02000184,44.01321222130471
E02000185,45.29599606976173
E02000186,30.102040816326532
E02000187,64.29132826827352
E02000188,66.89959543949982
E02000191,24.25249169435216
E02000192,50.74433656957928
E02000193,34.32258064516129
E02000194,22.745657863430882
E02000195,7.7583738906384205
E02000196,19.196587273373623
E02000197,15.978293638830268
E02000198,20.536989431590975
E02000199,10.975990021827254
E02000200,13.25
E02000201,29.60732984293194
E02000202,7.540335857754362
E02000203,21.142123837022776
E02000204,11.713665943600867
E02000206,25.07836990595611
E02000207,26.994382022471907
E02000208,30.96632503660322
E02000209,19.000979431929483
E02000210,12.73940800928613
E02000211,6.168337891218475
E02000212,26.08828939301042
E02000213,26.93021529324425
E02000214,5.46236559139785
E02000215,16.974310180780208
E02000216,11.59075458871516
E02000217,21.768571997610035
E02000218,32.28413441088898
E02000219,2.9165269862554477
E02000221,30.9679037111334
E02000222,9.980753368160572
E02000223,63.84505021520803
E02000224,9.202078874961787
E02000225,37.39653875094056
E02000226,2.26537216828479
E02000227,13.024602026049203
E02000228,2.327127659574468
E02000229,46.69051878354204
E02000230,9.761285748050106
E02000231,2.870639534883721
E02000232,9.970426700464722
E02000233,13.653444676409185
E02000234,15.591397849462366
E02000235,9.751506024096386
E02000236,7.406287787182587
E02000237,11.898483849703362
E02000238,17.1619812583668
E02000239,3.00443837487197
E02000240,31.100846805234795
E02000241,9.076923076923077
E02000242,4.661586732406993
E02000243,16.3787587971849
E02000244,7.48553929908132
E02000245,38.05547271100507
E02000246,30.621542466644975
E02000247,24.61459403905447
E02000248,4.919678714859438
E02000249,15.47700754975978
E02000250,4.8742138364779874
E02000251,5.940204563335956
E02000252,21.564625850340136
E02000253,40.77063264774799
E02000254,7.170245398773006
E02000255,19.06645569620253
E02000256,10.228401191658392
E02000258,16.903572800614675
E02000259,10.300250208507089
E02000260,13.83442265795207
E02000261,22.382961623467953
E02000262,23.289406994424734
E02000263,17.471201316511245
E02000264,10.330228619813717
E02000265,23.367842805831394
E02000266,40.08841321544905
E02000267,13.793103448275861
E02000268,16.53726708074534
E02000269,5.775627456909586
E02000270,33.55199222546161
E02000271,6.315082297615049
E02000272,6.419850334777472
E02000275,20.485519591141397
E02000276,10.939794419970632
E02000277,14.079147640791476
E02000278,33.67255312780605
E02000279,25.34510070151618
E02000280,19.91202346041056
E02000281,21.802816901408452
E02000282,35.207612456747405
E02000283,17.0
E02000284,11.470425649530128
E02000285,3.414634146341464
E02000286,6.571714142928537
E02000287,8.641114982578397
E02000288,23.538119911176906
E02000289,6.633704161516276
E02000290,32.10170838299563
E02000291,14.275814275814275
E02000292,8.125525357242926
E02000293,3.4524287434765153
E02000294,18.535320803629293
E02000295,9.253731343283581
E02000296,9.603960396039604
E02000297,2.3884892086330938
E02000298,3.50130890052356
E02000299,16.008441362677118
E02000300,12.341561040693797
E02000301,32.95759527643586
E02000302,11.368015414258188
E02000303,31.75403225806452
E02000304,2.4733768464445207
E02000305,3.88180764774044
E02000306,50.51485731097382
E02000307,8.28597068501346
E02000308,17.809494260006208
E02000309,20.79779227295534
E02000311,16.616231086657496
E02000312,7.942157953281424
E02000313,62.673343605547
E02000314,25.479391668503414
E02000315,42.636103151862464
E02000317,54.96102055279943
E02000318,23.76431164479196
E02000319,31.360040826741514
E02000320,25.7433489827856
E02000321,50.40485829959515
E02000323,39.9792531120332
E02000324,50.29772329246936
E02000326,27.2876352902591
E02000327,45.806451612903224
E02000328,25.15274949083503
E02000329,23.823051948051948
E02000331,35.50611093701034
E02000332,17.672557519173058
E02000333,16.74757281553398
E02000334,26.30751081399921
E02000335,13.662678502508685
E02000337,39.88326848249027
E02000339,20.038610038610038
E02000340,15.534945346141107
E02000341,47.02482148928936
E02000342,30.085470085470085
E02000343,31.045994065281903
E02000344,11.928104575163399
E02000345,22.209347238315953
E02000346,47.482376636455186
E02000347,33.53989155693261
E02000348,49.39360529217199
E02000350,24.025974025974026
E02000351,27.93282876064333
E02000352,37.04393149664929
E02000353,20.722433460076044
E02000354,44.54750564051141
E02000355,23.92421323057161
E02000356,23.88108461287161
E02000357,66.59316427783904
E02000358,37.09777870043596
E02000359,32.04601479046836
E02000360,58.51546391752578
E02000361,35.009513454743136
E02000362,44.598930481283425
E02000363,61.72895092300765
E02000364,38.61917540863625
E02000366,55.73446327683615
E02000367,34.46549096451121
E02000368,57.82378430428503
E02000369,46.07859672794738
E02000370,47.21943887775551
E02000372,50.81248387928811
E02000373,62.26340694006309
E02000374,36.8943151468905
E02000375,40.70897655803316
E02000376,32.851304621188305
E02000377,34.35867672663958
E02000378,27.16923076923077
E02000379,24.871134020618555
E02000380,25.590708850620747
E02000381,26.3395375070502
E02000382,23.448773448773448
E02000383,22.34922178988327
