MSOA,number_measured,number_obese,obesity_rate
E02000187,315.0,80.0,25.396825396825395
E02000188,262.0,76.0,29.00763358778626
E02000189,120.0,28.0,23.333333333333332
E02000190,115.0,25.0,21.73913043478261
E02000192,178.0,42.0,23.595505617977526
E02000193,66.0,19.0,28.78787878787879
E02000194,187.0,42.0,22.459893048128343
E02000195,245.0,48.0,19.591836734693878
E02000196,217.0,61.0,28.110599078341014
E02000197,288.0,62.0,21.52777777777778
E02000198,298.0,88.0,29.53020134228188
E02000199,245.0,68.0,27.755102040816325
E02000200,271.0,68.0,25.092250922509223
E02000201,331.0,75.0,22.658610271903324
E02000202,308.0,73.0,23.7012987012987
E02000203,222.0,62.0,27.927927927927925
E02000204,312.0,85.0,27.24358974358974
E02000206,325.0,85.0,26.153846153846157
E02000207,274.0,74.0,27.00729927007299
E02000208,336.0,79.0,23.511904761904763
E02000209,359.0,81.0,22.56267409470752
E02000210,260.0,59.0,22.692307692307693
E02000211,194.0,29.0,14.948453608247423
E02000212,327.0,91.0,27.82874617737003
E02000213,271.0,72.0,26.56826568265683
E02000214,171.0,30.0,17.543859649122805
E02000215,163.0,35.0,21.472392638036812
E02000216,118.0,25.0,21.1864406779661
E02000217,267.0,59.0,22.09737827715356
E02000218,255.0,60.0,23.52941176470588
E02000219,158.0,34.0,21.518987341772153
E02000220,150.0,33.0,22.0
E02000221,335.0,69.0,20.597014925373134
E02000222,147.0,24.0,16.3265306122449
E02000223,498.0,118.0,23.694779116465863
E02000224,179.0,38.0,21.22905027932961
E02000225,232.0,63.0,27.155172413793103
E02000226,151.0,27.0,17.880794701986755
E02000227,331.0,51.0,15.407854984894259
E02000228,180.0,26.0,14.444444444444443
E02000229,246.0,72.0,29.268292682926827
E02000230,235.0,34.0,14.468085106382977
E02000231,159.0,26.0,16.352201257861633
E02000232,198.0,25.0,12.626262626262626
E02000233,189.0,18.0,9.523809523809524
E02000234,232.0,51.0,21.982758620689655
E02000235,191.0,30.0,15.706806282722512
E02000236,258.0,53.0,20.54263565891473
E02000237,214.0,35.0,16.355140186915886
E02006788,312.0,73.0,23.397435897435898
E02000238,352.0,87.0,24.71590909090909
E02000239,290.0,76.0,26.20689655172414
E02000240,429.0,107.0,24.941724941724942
E02000241,190.0,51.0,26.842105263157894
E02000242,233.0,62.0,26.609442060085836
E02000243,280.0,59.0,21.071428571428573
E02000244,220.0,50.0,22.727272727272727
E02000245,313.0,73.0,23.322683706070286
E02000246,361.0,74.0,20.498614958448755
E02000247,396.0,100.0,25.252525252525253
E02000248,157.0,36.0,22.929936305732486
E02000249,161.0,35.0,21.73913043478261
E02000250,165.0,18.0,10.909090909090908
E02000251,285.0,73.0,25.6140350877193
E02000252,230.0,54.0,23.47826086956522
E02000253,392.0,85.0,21.683673469387756
E02000254,340.0,79.0,23.235294117647058
E02000255,278.0,50.0,17.985611510791365
E02000256,143.0,23.0,16.083916083916083
E02000257,132.0,21.0,15.909090909090908
E02000258,159.0,27.0,16.9811320754717
E02000259,201.0,36.0,17.91044776119403
E02000260,283.0,61.0,21.554770318021202
E02000261,298.0,82.0,27.516778523489933
E02000262,224.0,46.0,20.535714285714285
E02000263,480.0,115.0,23.958333333333336
E02000264,117.0,30.0,25.64102564102564
E02000265,291.0,78.0,26.804123711340207
E02000266,597.0,138.0,23.115577889447238
E02000267,197.0,46.0,23.3502538071066
E02000268,167.0,31.0,18.562874251497004
E02000269,177.0,19.0,10.734463276836157
E02000270,289.0,79.0,27.33564013840831
E02000271,65.0,9.0,13.846153846153847
E02000272,204.0,24.0,11.76470588235294
E02000274,525.0,128.0,24.38095238095238
E02000275,219.0,50.0,22.831050228310502
E02000276,134.0,22.0,16.417910447761194
E02006791,113.0,23.0,20.353982300884958
E02000277,246.0,65.0,26.422764227642276
E02000278,281.0,74.0,26.334519572953734
E02000279,510.0,135.0,26.47058823529412
E02000280,268.0,61.0,22.761194029850746
E02000281,281.0,70.0,24.91103202846975
E02000282,381.0,107.0,28.083989501312335
E02000283,369.0,101.0,27.371273712737125
E02000284,222.0,49.0,22.07207207207207
E02000285,199.0,40.0,20.100502512562816
E02000286,163.0,24.0,14.723926380368098
E02000287,115.0,26.0,22.608695652173914
E02000288,443.0,107.0,24.153498871331827
E02000289,209.0,43.0,20.574162679425836
E02000290,279.0,87.0,31.182795698924732
E02000291,231.0,59.0,25.541125541125542
