MSOA,overcrowded_percent
E02000213,17.996289424860855
E02000214,5.172413793103448
E02000215,12.464319695528069
E02000216,8.31918505942275
E02000217,13.94422310756972
E02000218,13.00639658848614
E02000219,2.8475711892797317
E02000221,12.170639899623588
E02000222,7.565337001375516
E02000223,18.45878136200717
E02000224,8.715596330275229
E02000225,10.150375939849624
E02000226,3.231597845601436
E02000227,6.095041322314049
E02000228,2.329450915141431
E02000229,13.422818791946309
E02000230,5.555555555555555
E02000231,3.272727272727273
E02000232,3.171247357293869
E02000233,5.230125523012552
E02000234,4.8452220726783315
E02000235,3.7593984962406015
E02000236,3.474320241691843
E02000237,2.9702970297029703
E02000238,15.930388219544847
E02000239,10.921501706484642
E02000240,17.84338896020539
E02000241,13.846153846153847
E02000242,14.798206278026907
E02000243,13.099041533546327
E02000244,10.90289608177172
E02000245,20.386904761904763
E02000246,18.729641693811075
E02000247,18.076923076923077
E02000248,11.872909698996656
E02000249,16.323024054982817
E02000250,4.322200392927308
E02000251,13.779527559055119
E02000252,13.038548752834467
E02000253,14.84375
E02000254,18.96551724137931
E02000255,10.540184453227932
E02000256,5.962732919254658
E02000258,9.807692307692308
E02000259,8.559498956158663
E02000260,24.27536231884058
E02000261,13.165829145728644
E02000262,11.660329531051964
E02000263,27.534246575342465
E02000264,7.757404795486601
E02000265,10.782241014799155
E02000266,19.441210710128058
E02000267,9.147286821705427
E02000268,7.235142118863049
E02000269,5.303030303030303
E02000270,13.122721749696234
E02000271,3.3557046979865772
E02000272,5.128205128205128
E02000275,24.46808510638298
E02000276,6.972477064220184
E02000277,12.571428571428573
E02000278,14.97005988023952
E02000279,16.64779161947905
E02000280,7.331378299120235
E02000281,12.816901408450704
E02000282,19.76911976911977
E02000283,12.678571428571427
E02000284,6.906077348066299
E02000285,3.861788617886179
E02000286,5.75
E02000287,3.8327526132404177
E02000288,20.71516646115906
E02000289,3.909465020576132
E02000290,19.681908548707753
E02000291,11.547344110854503
E02000292,9.523809523809524
E02000293,3.807615230460922
E02000294,14.772727272727273
E02000295,8.059701492537313
E02000296,11.61928306551298
E02000297,5.0359712230215825
E02000298,5.237315875613748
E02000299,16.76737160120846
E02000300,18.96838602329451
E02000301,19.839142091152816
E02000302,10.43338683788122
E02000303,17.983193277310924
E02000304,5.154639175257731
E02000305,10.419681620839363
E02000306,23.235294117647058
E02000307,13.004484304932735
E02000308,12.4031007751938
E02000309,20.927318295739347
E02000311,16.91884456671252
E02000312,13.125695216907676
E02000313,16.570327552986512
E02000314,19.18412348401323
E02000315,17.478510028653297
E02000317,16.666666666666664
E02000318,20.11173184357542
E02000319,16.347381864623244
E02000320,13.0859375
E02000321,19.289340101522843
E02000323,17.219917012448132
E02000324,12.084063047285463
E02000326,7.049180327868852
E02000327,13.446969696969695
E02000328,4.584040747028863
E02000329,9.330628803245435
E02000331,9.733124018838305
E02000332,7.178631051752922
E02000333,4.166666666666666
E02000334,8.267716535433072
E02000335,3.667953667953668
E02000337,9.253246753246753
E02000339,4.826254826254826
E02000340,5.4635761589403975
E02000341,11.394557823129253
E02000342,7.6923076923076925
E02000343,7.421150278293136
E02000344,4.8979591836734695
E02000345,17.408123791102515
E02000346,14.357682619647354
E02000347,18.7984496124031
E02000348,19.816513761467892
E02000350,13.414634146341465
E02000351,9.692671394799055
E02000352,11.54562383612663
E02000353,6.9730586370839935
E02000354,14.661654135338345
E02000355,9.791332263242374
E02000356,7.8431372549019605
E02000357,16.176470588235293
E02000358,11.007268951194185
E02000359,12.5
E02000360,14.845360824742269
E02000361,11.956521739130435
E02000362,13.01247771836007
E02000363,17.700112739571587
E02000364,8.902439024390244
E02000366,11.440677966101696
E02000367,10.434782608695652
E02000368,13.959085439229844
E02000369,12.658227848101266
E02000370,12.781954887218044
E02000372,13.65979381443299
E02000373,20.47244094488189
E02000374,11.494252873563218
E02000375,13.571428571428571
E02000376,10.832025117739404
E02000377,11.46589259796807
E02000378,9.37019969278034
E02000379,8.373590982286634
E02000380,6.2
E02000381,7.757404795486601
E02000382,8.468468468468467
E02000383,8.02919708029197
E02000384,10.104986876640421
E02000385,6.666666666666667
E02000386,14.985163204747776
E02000387,9.073359073359073
E02000388,6.900726392251816
E02000389,5.034013605442176
E02000390,6.8139963167587485
E02000391,5.335365853658536
E02000392,7.558859975216853
E02000393,3.861003861003861
E02000394,8.160919540229886
E02000395,4.158790170132325
E02000396,9.2057761732852
E02000397,14.84149855907781
E02000398,24.305555555555554
E02000400,14.903846153846153
E02000401,17.575757575757574
E02000402,19.587628865979383
E02000403,15.692821368948248
E02000404,17.481203007518797
E02000405,6.097560975609756
E02000406,16.602316602316602
E02000407,19.13477537437604
E02000408,20.666666666666668
E02000409,20.042194092827003
E02000410,5.172413793103448
E02000411,19.138149556400506
E02000412,17.217391304347824
E02000413,5.922165820642978
E02000414,13.443830570902392
E02000415,14.084507042253522
E02000416,9.183673469387756
E02000417,4.537521815008725
E02000418,3.8461538461538463
E02000419,12.774725274725274
E02000420,14.847161572052403
E02000421,20.222929936305732
E02000422,17.301038062283737
E02000423,12.897196261682243
E02000424,6.700167504187604
