MSOA,nonwhite_percent
E02000087,16.640272871238885
E02000088,13.472706155632984
E02000089,13.127462193417209
E02000090,14.896265560165975
E02000091,17.355371900826448
E02000092,20.909225529394345
E02000093,65.17052631578947
E02000094,62.4282982791587
E02000095,66.42440470498231
E02000096,68.66727820731228
E02000097,59.30549727234579
E02000098,67.26129216695254
E02000099,63.278962777080714
E02000100,73.97523740834235
E02000101,69.74849094567405
E02000102,70.08762453486976
E02000103,63.63636363636363
E02000104,69.31893909103024
E02000105,74.52255180820805
E02000106,62.902135059414555
E02000107,52.33567967821556
E02000108,73.62258953168043
E02000110,51.07632093933464
E02000111,84.6051582026057
E02000112,80.06808510638298
E02000113,79.65116279069767
E02000114,51.87367952852219
E02000115,45.98607888631091
E02000116,64.63086463086462
E02000117,72.3596387907342
E02000118,84.01947764497565
E02000119,78.23590322884307
E02000120,43.284906288122436
E02000121,85.35250388040193
E02000122,42.87286063569682
E02000123,61.821662616891246
E02000124,35.9618282270216
E02000125,43.60599657913271
E02000126,68.20844520380767
E02000127,28.634219554030878
E02000128,18.924123764282964
E02000130,32.03226954561632
E02000131,36.77283997711234
E02000132,29.222165734621253
E02000133,20.524261015058563
E02000134,26.372223640541232
E02000135,46.19124797406807
E02000136,21.13141862489121
E02000137,23.371829979759497
E02000138,19.724770642201836
E02000139,23.616331821127673
E02000140,25.642207118995508
E02000141,33.3517775625951
E02000142,23.04027226318775
E02000144,30.201608898599662
E02000145,29.419764279238443
E02000146,23.20931670617335
E02000147,21.56982421875
E02000148,18.315726826365125
E02000149,20.35018978817191
E02000150,22.046041813483676
E02000151,17.828738069989395
E02000152,26.901832789354756
E02000153,15.455778956457383
E02000154,26.222587076345725
E02000155,20.765790944661823
E02000156,16.78867740361152
E02000157,18.274172343731326
E02000158,25.36278412739181
E02000159,15.633347392098973
E02000160,12.826837691169215
E02000161,24.90232130544702
E02000162,17.34306979356832
E02000163,17.301710730948678
E02000165,7.837121740343049
E02000166,26.904208623805836
E02000167,22.305555555555557
E02000168,26.388533401586894
E02000169,31.270903010033447
E02000170,33.01743745261562
E02000171,29.6767212227783
E02000172,43.71311393418026
E02000173,33.84923282188125
E02000174,35.98812762799901
E02000175,36.82413831075873
E02000176,27.112914131169706
E02000177,43.043939215455296
E02000178,44.34587310499719
E02000179,38.810641627543035
E02000180,40.08374571754854
E02000181,31.711845525436317
E02000182,47.50597161725446
E02000183,31.04174897932306
E02000184,47.383198562443845
E02000185,52.160702228224174
E02000186,39.31555269922879
E02000187,61.761700388309826
E02000188,59.947060462524384
E02000191,46.263345195729535
E02000192,50.14270692504132
E02000193,42.25801040093944
E02000194,39.75027144408252
E02000195,55.91498185588388
E02000196,63.81662035867643
E02000197,64.68698060941828
E02000198,62.938793879387944
E02000199,63.75950570342205
E02000200,51.895237042767164
E02000201,60.634993673070284
E02000202,75.53465457395589
E02000203,70.8296723986444
E02000204,80.38322112894873
E02000206,64.37089766108902
E02000207,57.43987412901775
E02000208,76.01951578753568
E02000209,78.23977059666925
E02000210,50.7346189164371
E02000211,37.01824332487617
E02000212,73.36433780784273
E02000213,67.83872480075011
E02000214,42.99695170864752
E02000215,51.12896405919661
E02000216,60.67039106145251
E02000217,55.26580580244843
E02000218,49.99250487183331
E02000219,35.58410908614134
E02000221,57.1994472593275
E02000222,39.616766467065865
E02000223,52.45574961903645
E02000224,42.842954686530106
E02000225,36.529741264337154
E02000226,34.78603307954844
E02000227,31.952054794520546
E02000228,29.273504273504276
E02000229,36.60571061918511
E02000230,41.68888042650419
E02000231,45.22068095838588
E02000232,27.07761820235598
E02000233,34.43396226415094
E02000234,39.34842394753543
E02000235,27.462643261279556
E02000236,29.126958045788147
E02000237,20.539119000657465
E02000238,58.88836992059785
E02000239,62.22910216718266
E02000240,59.46645253390436
E02000241,58.73123224671987
E02000242,66.49245063879209
E02000243,55.40013758312313
E02000244,54.13867410318165
E02000245,64.95166487647691
E02000246,64.0139505389981
E02000247,64.55083378160302
E02000248,53.55106272680145
E02000249,60.923517480014326
E02000250,33.410493827160494
E02000251,75.58950914340711
E02000252,54.174836601307184
E02000253,55.50613941796384
E02000254,89.65030408340573
E02000255,45.508010545528286
E02000256,38.297409100805574
E02000258,46.6231884057971
E02000259,36.628701594533034
E02000260,92.80992576019526
E02000261,51.41501976284585
E02000262,41.28155755241763
E02000263,96.01576182136601
E02000264,38.84112589800966
E02000265,42.738847831893864
E02000266,79.98017839444995
E02000267,34.67484662576687
E02000268,32.990916955017305
E02000269,27.190406265296136
E02000270,48.834304746044964
E02000271,24.057553956834532
E02000272,30.563002680965145
E02000275,90.34153507161218
E02000276,29.621413782904465
E02000277,51.661792076575374
E02000278,52.800763844684916
E02000279,58.887535525781566
E02000280,26.64195528784895
E02000281,46.172174453537764
E02000282,57.72709003215434
E02000283,53.530858414334226
E02000284,28.372039812378446
E02000285,26.934658235471243
E02000286,28.1965703763379
E02000287,36.126224156692054
E02000288,65.9261576971214
E02000289,36.75819309123118
E02000290,65.39440203562341
E02000291,39.20873929731326
E02000292,45.67449425637898
E02000293,27.936805881432818
E02000294,63.379229373465684
E02000295,38.37129054520359
E02000296,37.69699313545393
E02000297,37.74207278144286
E02000298,26.584272385799103
E02000299,65.61743341404357
E02000300,59.38558843460583
E02000301,65.04939841533796
E02000302,42.75989385023653
