MSOA,percent_age_10_11
E02000115,1.7623188405797103
E02000116,2.5635022825705254
E02000117,3.2359409362236886
E02000118,2.097716409984068
E02000119,3.0605518410396457
E02000120,1.8962075848303395
E02000121,2.01764417578827
E02000122,2.7675728630908645
E02000123,2.9528718703976433
E02000124,2.2693041470027113
E02000125,2.1227364185110664
E02000126,2.852962692026335
E02000127,3.0760986066452305
E02000128,2.733572895277207
E02000130,2.491103202846975
E02000131,2.02328688681046
E02000132,1.9817073170731707
E02000133,2.7547696603071197
E02000134,2.5691195236069757
E02000135,2.6555848368132984
E02000136,2.4245595674167104
E02000137,2.6782525889775024
E02000138,1.6586283966592164
E02000139,2.4513618677042803
E02000140,3.307213643696704
E02000141,2.422145328719723
E02000142,2.881778987973678
E02000144,2.257134334294521
E02000145,2.9008498583569406
E02000146,2.5048964024327387
E02000147,3.1253815162983765
E02000148,2.6049419470080384
E02000149,2.487440264673447
E02000150,3.7724762016688214
E02000151,2.3067744929073313
E02000152,2.9611041405269765
E02000153,3.1465942744323794
E02000154,2.181818181818182
E02000155,2.4737945492662474
E02000156,2.5872589699780324
E02000157,2.869097429766886
E02000158,2.6856849139038808
E02000159,2.372595816369507
E02000160,2.9861796643632776
E02000161,2.6006904487917146
E02000162,2.8936648405674954
E02000163,2.465291293629168
E02000165,2.590168500208885
E02000166,2.0903225806451613
E02000167,2.267037552155772
E02000168,2.1129466000768344
E02000169,2.6352481873954265
E02000170,2.223064292029809
E02000171,2.177735695928581
E02000172,2.39880059970015
E02000173,2.2420926197784596
E02000174,2.3491592482690407
E02000175,1.4414612676056338
E02000176,1.9611158072696533
E02000177,2.216719726447353
E02000178,1.8310492024264209
E02000179,2.4
E02000180,2.1592785469325544
E02000181,1.6705853235985644
E02000182,2.0520028109627546
E02000183,1.6078017923036374
E02000184,1.4932075895363197
E02000185,2.453573438379291
E02000186,1.7662170841361593
E02000187,2.5153374233128836
E02000188,2.466211508987042
E02000191,0.8447531443589262
E02000192,1.9057623049219687
E02000193,0.9907640638119228
E02000194,2.055017940632815
E02000195,2.696256351757752
E02000196,2.2132287846212217
E02000197,2.470093043863536
E02000198,2.545045045045045
E02000199,2.5924604590319893
E02000200,2.2423506020103834
E02000201,2.945236999539807
E02000202,2.8017482909335425
E02000203,2.6589740373761446
E02000204,2.7432712215320914
E02000206,2.827312205488312
E02000207,2.247191011235955
E02000208,3.2011774445773162
E02000209,2.9814487632508833
E02000210,2.411852532445159
E02000211,2.4767427812009184
E02000212,3.118063629637459
E02000213,2.367742439634289
E02000214,2.2760057701554737
E02000215,1.9947595300481784
E02000216,2.5959525471039777
E02000217,2.490357202750294
E02000218,3.3558052434456926
E02000219,2.0576671035386633
E02000221,3.04872432532007
E02000222,2.4542080689572607
E02000223,4.339157968804972
E02000224,2.3726708074534164
E02000225,3.1741797812750066
E02000226,2.4178712220762155
E02000227,2.4557200308034566
E02000228,2.7278441231929604
E02000229,3.582904884318766
E02000230,2.2387348766314186
E02000231,2.2942140426068325
E02000232,2.617547261269995
E02000233,3.1583909490886235
E02000234,2.6543993231810488
E02000235,2.3060188542422044
E02000236,2.803328953131844
E02000237,2.6045777426992895
E02000238,2.5044388374918234
E02000239,2.354111405835544
E02000240,2.971622345172229
E02000241,2.121908365995405
E02000242,2.52760023242301
E02000243,2.4630541871921183
E02000244,2.913974407703028
E02000245,2.9876410531972057
E02000246,3.2963549920760697
E02000247,3.1659192825112106
E02000248,2.6851731742119602
E02000249,2.6965755876387063
E02000250,3.0387166435292303
E02000251,2.622714148219442
E02000252,1.9200915107443417
E02000253,3.2682266486172886
E02000254,2.334926151172893
E02000255,2.5760649087221097
E02000256,1.6659407665505226
E02000258,2.927112012751775
E02000259,3.0224787363304984
E02000260,2.459349593495935
E02000261,2.24381765031208
E02000262,2.32135216089003
E02000263,3.003791192767571
E02000264,1.9780996114447194
E02000265,2.4768353528153955
E02000266,2.729282610352977
E02000267,3.0050288237458602
E02000268,2.0544982698961936
E02000269,2.5480828126914123
E02000270,1.956499115412634
E02000271,2.4313048482232773
E02000272,2.8745904081024722
E02000275,2.5948592411260707
E02000276,2.398578620076991
E02000277,3.389605210687226
E02000278,3.3707865168539324
E02000279,3.539535638902419
E02000280,2.6708289975719737
E02000281,2.9844559585492227
E02000282,3.940094481857473
E02000283,3.5250029277432953
E02000284,2.6177411979881113
E02000285,2.652200120554551
E02000286,2.567054218947853
E02000287,2.6637673280782823
E02000288,3.888888888888889
E02000289,2.819188191881919
E02000290,3.6222122436760964
E02000291,2.511078286558346
E02000292,3.2133414683750257
E02000293,2.8562509754955516
E02000294,3.4541577825159915
E02000295,2.7337468412589017
E02000296,2.657518361035949
E02000297,2.331771720613288
E02000298,2.495759631693724
E02000299,3.4105263157894736
E02000300,2.8219889378033636
E02000301,3.1797280109578314
E02000302,2.3749135347014065
E02000303,3.0118321979204015
E02000304,2.200124300807955
E02000305,1.7915492957746477
E02000306,3.2201533406352687
E02000307,3.125
E02000308,2.4198150896016437
E02000309,3.155216284987277
E02000311,2.3805007587253417
E02000312,1.8847889567294929
E02000313,3.3543622095707035
E02000314,3.2877488840076525
E02000315,3.6188545362392297
E02000317,3.0647291941875823
E02000318,2.195121951219512
E02000319,2.5807666949232364
E02000320,3.0664395229982966
E02000321,2.824200025910092
E02000323,3.1109037175299425
E02000324,2.697201017811705
E02000326,2.490372272143774
E02000327,2.5226586102719035
E02000328,1.9204178829313259
E02000329,2.385466034755134
E02000331,2.8422203328069964
E02000332,3.1907762434642715
E02000333,2.6096701889209095
E02000334,2.6656626506024095
E02000335,2.574079616881173
E02000337,2.9547334830398295
E02000339,2.338530066815145
E02000340,2.257171981942624
E02000341,3.404255319148936
E02000342,2.598834462120019
E02000343,2.765565168061268
E02000344,2.3169025034986785
E02000345,4.250913520097442
E02000346,2.3523150612027677
E02000347,3.8282208588957056
E02000348,3.7617168228909716
E02000350,2.345124096150088
E02000351,1.3468376252558991
E02000352,2.934202726733847
E02000353,2.1898750483060674
E02000354,2.101758401831235
E02000355,2.0863836017569546
E02000356,2.4175199089874857
E02000357,2.8191644756061933
E02000358,2.020748759585025
E02000359,2.3304451747833883
E02000360,2.657172629385203
E02000361,1.8387377313952045
E02000362,2.355644929617926
E02000363,2.946375957572186
E02000364,2.104349712550168
E02000366,2.687784977201824
E02000367,1.7074340527577936
E02000368,2.2667741285512797
E02000369,2.1542118555935224
E02000370,2.0078962210941906
E02000372,1.9325122659457294
E02000373,3.382603752131893
E02000374,2.7320034692107544
E02000375,1.7992802878848462
E02000376,1.8339048755032055
E02000377,1.8230838361792272
E02000378,1.787657391574693
E02000379,2.313937753721245
E02000380,2.0723504817305947
