MSOA,higher_education_percent
E02000106,31.819832909553213
E02000107,43.451395785060136
E02000108,38.27497865072588
E02000110,48.175505983158516
E02000111,33.18206972883232
E02000112,33.694083694083695
E02000113,28.219620508679853
E02000114,44.48684210526316
E02000115,54.471879286694104
E02000116,33.36329588014981
E02000117,31.208677685950413
E02000118,28.054054054054056
E02000119,37.60401370533529
E02000120,55.62417871222076
E02000121,31.738777168393256
E02000122,52.90071770334929
E02000123,35.48985077393642
E02000124,58.5561167919182
E02000125,50.57642246188174
E02000126,41.88593155893536
E02000127,32.880886426592795
E02000128,39.459016393442624
E02000130,55.52785923753666
E02000131,57.64910248986682
E02000132,53.59183177342896
E02000133,52.661837415200644
E02000134,50.1324012286834
E02000135,39.169697729838205
E02000136,35.859995705389736
E02000137,50.60823684596218
E02000138,53.503800967519
E02000139,52.467828636585764
E02000140,27.62338648443432
E02000141,47.27896995708154
E02000142,48.69416297987726
E02000144,55.15667406859117
E02000145,31.666417128312624
E02000146,45.94594594594595
E02000147,49.26123381568926
E02000148,46.12682566093548
E02000149,32.4
E02000150,41.63949006818856
E02000151,45.14571190674438
E02000152,34.74714518760196
E02000153,39.363536604483464
E02000154,45.46496632755409
E02000155,30.73832245102963
E02000156,39.72004368112776
E02000157,42.63267121257041
E02000158,36.82233834095363
E02000159,36.405217685922416
E02000160,37.86348331802877
E02000161,42.685747325816706
E02000162,34.070490670352456
E02000163,40.43195172304272
E02000165,26.768113435932904
E02000166,59.42428418312663
E02000167,75.20826391202932
E02000168,64.14011777140269
E02000169,70.13888888888889
E02000170,66.75281240498632
E02000171,65.46947978740538
E02000172,44.674338883447604
E02000173,73.50178166504698
E02000174,55.24330720307646
E02000175,66.51015228426395
E02000176,74.89935587761674
E02000177,49.514152936206166
E02000178,55.97740409879138
E02000179,62.19021393772506
E02000180,55.53248294274697
E02000181,73.11513734658095
E02000182,62.409263740062215
E02000183,62.752094322060195
E02000184,47.56003098373354
E02000185,45.73984858912595
E02000186,56.12357484369254
E02000187,41.431968957316315
E02000188,38.42522340246165
E02000191,48.586783439490446
E02000192,51.882188915998604
E02000193,58.316669696418835
E02000194,53.641587598556725
E02000195,45.51679586563308
E02000196,40.17595307917888
E02000197,41.21104428649535
E02000198,37.049180327868854
E02000199,40.903703703703705
E02000200,48.37437083390015
E02000201,40.76367389060888
E02000202,36.78981248250769
E02000203,36.268277177368084
E02000204,36.46873357856017
E02000206,37.36816874400767
E02000207,37.23831970054069
E02000208,37.615356220007385
E02000209,35.09924318149365
E02000210,41.10358737934015
E02000211,35.90156730628387
E02000212,32.486463973344435
E02000213,40.12539184952978
E02000214,43.56202083742874
E02000215,46.018711018711016
E02000216,56.583753696295005
E02000217,41.705143348008164
E02000218,33.697347893915754
E02000219,39.68961278426552
E02000221,37.79612347451543
E02000222,50.601872492197955
E02000223,25.33665835411471
E02000224,46.78426475179519
E02000225,24.622512010981467
E02000226,40.47429571860576
E02000227,32.59733333333333
E02000228,49.62476547842402
E02000229,24.28087986463621
E02000230,49.39927679925347
E02000231,52.52216447569551
E02000232,34.16173570019724
E02000233,42.865719431658995
E02000234,44.16442048517521
E02000235,43.723252496433666
E02000236,44.68175388967468
E02000237,34.73220117570215
E02000238,38.30429732868757
E02000239,40.07782101167315
E02000240,34.03938630638883
E02000241,37.61421319796954
E02000242,36.33463310882666
E02000243,36.68680623858368
E02000244,42.186031944879424
E02000245,32.56014983431782
E02000246,31.118832522585127
E02000247,33.768937203654446
E02000248,50.219833903273084
E02000249,36.147283340817246
E02000250,63.500287852619465
E02000251,33.78480060195636
E02000252,40.317338940929076
E02000253,35.57847645085125
E02000254,28.636242327195088
E02000255,53.05241781952025
E02000256,63.877105026353
E02000258,51.69584245076586
E02000259,50.78473164115481
E02000260,27.163645647178964
E02000261,49.29631771737035
E02000262,52.09896038952494
E02000263,24.437684365781713
E02000264,61.606039807824295
E02000265,51.21092029942756
E02000266,34.101471727343146
E02000267,49.45482866043614
E02000268,57.86639312732401
E02000269,64.3312101910828
E02000270,52.998712998712996
E02000271,69.04381763349299
E02000272,56.39925373134328
E02000275,29.385764365188233
E02000276,60.6345692676628
E02000277,28.54399441340782
E02000278,26.64243779703662
E02000279,32.28753852928226
E02000280,37.63728109231226
E02000281,32.94021960146401
E02000282,25.855566419891048
E02000283,27.843620132368784
E02000284,43.654235328129516
E02000285,38.574618533680685
E02000286,45.89932126696832
E02000287,47.30021598272138
E02000288,28.86804384485666
E02000289,44.45053940391296
E02000290,30.140090646889163
E02000291,40.83281541330019
E02000292,36.94995402600814
E02000293,46.72539256989659
E02000294,27.037552155771905
E02000295,46.017699115044245
E02000296,42.869239143582924
E02000297,39.69732246798603
E02000298,51.49019020518196
E02000299,28.13331466181207
E02000300,28.037383177570092
E02000301,27.170687653206038
E02000302,38.15789473684211
E02000303,28.491965389369593
E02000304,52.8998778998779
E02000305,49.14512378607578
E02000306,27.203625200994008
E02000307,31.074168797953966
E02000308,43.16118047673099
E02000309,29.18040240991247
E02000311,33.7328163553049
E02000312,46.47418697005474
E02000313,35.82150935636438
E02000314,40.53343350864012
E02000315,36.2289007822149
E02000317,38.188093183779124
E02000318,33.107798165137616
E02000319,40.17524906973953
E02000320,37.949279328589675
E02000321,36.35300016714023
E02000323,42.208835341365464
E02000324,40.27119751674563
E02000326,55.226258763543655
E02000327,41.51568283654783
E02000328,62.233843855061636
E02000329,36.04373757455268
E02000331,41.373456790123456
E02000332,45.67234688712671
E02000333,64.41669918064767
E02000334,40.86041705804997
E02000335,39.94323557237465
E02000337,33.00225733634311
E02000339,45.7210308872713
E02000340,39.55064194008559
E02000341,30.564289260301177
E02000342,33.70544457500979
E02000343,34.70042796005706
E02000344,36.05955143078113
E02000345,26.97110904007456
E02000346,50.43906333155934
E02000347,34.53851744186046
E02000348,29.375810335247266
E02000350,53.74492682326897
E02000351,63.5264483627204
E02000352,53.33460003800114
E02000353,63.003549930544835
E02000354,50.89319175515303
E02000355,56.81249079393136
E02000356,66.19265278483155
E02000357,38.98588410104012
