MSOA,unemployment_rate,inactive_rate
E02000079,5.205116894574327,29.224629418472066
E02000080,5.300420972062763,28.439455647164003
E02000081,4.8007918831972285,31.022029613578912
E02000082,4.2423046566692975,25.594345684300706
E02000083,5.80364609466466,25.769810985890494
E02000084,4.442901770218674,28.512322360136714
E02000085,4.281636536631779,27.327553712777984
E02000086,3.469442220443021,29.31995540691193
E02000087,4.550898203592815,31.030701754385966
E02000088,3.500496524329692,28.964004644561992
E02000089,4.63222193942479,30.78780177890724
E02000090,5.693168198162205,32.20251063388318
E02000091,5.376344086021505,33.37924249877029
E02000092,7.272149888853605,31.769059955588453
E02000093,6.646902792947418,28.42229331537296
E02000094,7.4941027036835415,28.19433817903596
E02000095,7.054545454545455,29.583253679984704
E02000096,5.303810504634397,31.32451198742303
E02000097,6.740196078431373,30.051378840306175
E02000098,7.503573130061934,33.83278051012238
E02000099,6.397774687065369,26.24973854842083
E02000100,8.056768558951966,31.270280014421342
E02000101,9.587020648967552,32.07205393982087
E02000102,9.029345372460497,32.192603266090295
E02000103,10.120431016268752,31.26817042606516
E02000104,7.194616977225674,32.014388489208635
E02000105,7.333735181836448,29.225924420967086
E02000106,10.989882959730213,31.089434035155495
E02000107,7.425410660408985,28.29843649995428
E02000108,7.357594936708861,28.4435261707989
E02000110,8.542482155192262,29.67584097859327
E02000111,7.220279720279721,29.377880184331794
E02000112,7.885575904343877,26.348936170212767
E02000113,14.363817097415508,35.37902388369678
E02000114,7.98004987531172,26.499054399822004
E02000115,7.874506544774569,28.7122969837587
E02000116,10.212457749879285,29.61272961272961
E02000117,12.070777855641206,31.19993717606408
E02000118,7.062891010865986,28.098148640269287
E02000119,11.22715404699739,30.054593373493976
E02000120,7.827038861521621,23.627896662601174
E02000121,7.4155538098978795,28.43954248366013
E02000122,8.108715184186883,27.344992050874406
E02000123,9.988402435488547,28.644030345437137
E02000124,6.191402794976119,24.723618090452263
E02000125,6.8307472801854825,24.723284363050915
E02000126,12.161531279178337,27.943868212324592
E02000127,7.548806941431669,27.997428479588553
E02000128,5.070993914807302,27.724297266076242
E02000130,5.805785123966943,23.516848599905078
E02000131,6.504796163069544,18.702908917501194
E02000132,5.995244565217392,23.815334553589587
E02000133,3.6104425106461764,30.657613245279506
E02000134,5.984999234654829,24.734019916588647
E02000135,7.784090909090908,27.30126582278481
E02000136,6.306306306306306,34.62275657780101
E02000137,4.555655296229802,28.183765770054748
E02000138,4.665358622193154,31.145612796988942
E02000139,4.695051783659379,23.292287751134154
E02000140,7.468477206595538,28.39378238341969
E02000141,6.614135625596944,22.624809846494262
E02000142,4.624027657735523,26.98502722323049
E02000144,4.941257774706289,23.034880254397297
E02000145,6.4385839866951775,27.967350640516948
E02000146,4.732852652985764,23.930302092999277
E02000147,3.9010708822029576,32.254518808011724
E02000148,4.394263045468416,31.69244497323022
E02000149,5.773781353525793,27.829495345418913
E02000150,5.593297101449275,27.326127819548873
E02000151,3.413157170382604,31.44637412170224
E02000152,6.072772898368884,26.946258161727776
E02000153,4.3193399660276635,27.829199062075777
E02000154,4.903283850652271,29.702157598499063
E02000155,4.897131266299623,35.22012578616352
E02000156,3.9681221982400796,32.948259030263586
E02000157,4.64720194647202,31.512906309751433
E02000158,6.463245492371705,32.38767650834403
E02000159,4.637268847795164,33.59089631919078
E02000160,5.251368840219015,31.048088779284832
E02000161,4.293628808864266,29.70922882427307
E02000162,5.658682634730539,34.39123718578851
E02000163,3.7789940057336464,31.92123332037829
E02000165,4.047434905903583,26.53744247664203
E02000166,7.603222557905337,33.00193673337637
E02000167,4.1332665330661325,27.924423450958603
E02000168,5.902777777777778,25.761843790012804
E02000169,4.516301443078568,28.07971014492754
E02000170,5.101387406616862,23.894364417487996
E02000171,6.0455192034139404,26.988636363636363
E02000172,10.143720058321183,33.663366336633665
E02000173,5.260739719733517,24.35640923035881
E02000174,7.831598008148484,28.95843641761504
E02000175,6.41025641025641,24.08630559225011
E02000176,4.070894489061202,22.958579881656803
E02000177,8.939428056743976,31.31110849334433
E02000178,7.354070660522273,26.98573194023143
E02000179,6.760287393860222,28.857192555226995
E02000180,9.03384891279982,28.94135567402894
E02000181,5.172413793103448,21.510835913312693
E02000182,6.7600989282769985,30.162967125597078
E02000183,6.126433976080058,30.93544137022398
E02000184,11.62113748320645,36.83797127468581
E02000185,10.213940648723257,32.84540029275983
E02000186,9.260882267017237,32.30422897571957
E02000187,13.40379533989911,39.07799243585812
E02000188,13.4107027724049,39.381270903010034
E02000191,10.852390852390853,49.063670411985015
E02000192,9.363295880149813,34.07418531311008
E02000193,9.341894060995184,40.03690036900369
E02000194,6.572068707991038,23.10030395136778
E02000195,7.373737373737374,28.9075456053068
E02000196,7.722577471716676,30.485338725985844
E02000197,7.794087244159603,27.48421402459289
E02000198,9.919797382861967,25.60467994150073
E02000199,8.068353882760112,25.255526503446635
E02000200,7.191847932588673,24.8342175066313
E02000201,9.479594040164113,24.7583985273815
E02000202,8.52575488454707,29.58566629339306
E02000203,8.123456790123457,28.19322459222083
E02000204,9.280936454849497,29.280165717244948
E02000206,9.704790525013259,24.856720281013125
E02000207,9.654029417857883,26.783507471070667
E02000208,9.188980928530148,27.027524624873422
E02000209,7.010989010989011,26.994812934554684
E02000210,6.37385086823289,23.51996328591097
E02000211,5.206880520688053,30.500483558994198
E02000212,9.683625480974776,26.704005072387194
E02000213,10.197663971248877,25.08204406938584
E02000214,6.066120715802245,28.71112536069253
E02000215,6.759976176295414,24.57089709985626
E02000216,6.546336206896551,28.46572665084462
E02000217,7.29665071770335,21.986410536028856
E02000218,8.984375,30.815347721822544
E02000219,4.5787545787545785,35.20775986367807
E02000221,8.943237817119911,26.521779169352612
E02000222,5.729275970619097,23.48149035581646
E02000223,11.396957123098202,28.127564778989328
E02000224,5.881081081081081,22.071792323934915
E02000225,7.593553673859602,28.90281295827223
E02000226,5.002675227394328,33.429621848739494
E02000227,5.502313284864507,28.488272556069166
E02000228,3.9684625492772665,32.54966054815187
E02000229,7.837445573294629,31.605968233595377
E02000230,5.663881151346333,30.35901342729264
E02000231,4.485749690210657,31.609485368314832
E02000232,4.8196721311475414,32.63989679084019
E02000233,4.739052189562088,26.147077309868006
E02000234,5.836254897917096,27.224632314040843
E02000235,4.217536071032186,29.081410535481062
E02000236,4.427136708341874,23.973277844704853
E02000237,5.109489051094891,31.8678425694353
E02000238,6.753554502369669,25.252147926783714
E02000239,5.947497949138638,28.54141324781599
E02000240,8.591575431434403,29.842091176732982
E02000241,8.091446185461084,27.25182580470652
E02000242,8.058198097369894,30.04067402672865
E02000243,7.3958565382045,30.107773446457237
E02000244,7.861328125,29.054738976178406
E02000245,8.405323371468597,28.548404426775548
E02000246,9.170013386880857,28.683153667300783
E02000247,9.113207547169813,29.97937404717066
E02000248,7.055291468601451,27.773457750129598
E02000249,7.804295942720764,29.724244956428315
E02000250,4.840649428743235,29.04320987654321
E02000251,7.535397168226542,29.842491282914512
E02000252,12.153172156417329,35.151911140150276
E02000253,9.445628997867804,32.45698820800309
E02000254,8.51063829787234,33.86939041616864
E02000255,8.443113772455089,29.085563665855634
E02000256,5.917480998914224,24.559111691704768
E02000258,7.911908646003263,26.148717205392085
E02000259,6.235827664399093,24.74164133738602
E02000260,11.271541686073592,35.973563802745296
E02000261,8.84782304353913,25.541330804488698
E02000262,7.43127962085308,24.796573875803
E02000263,10.849208911850178,33.93417499817558
E02000264,6.9846338056276185,26.839317245438494
E02000265,9.04456503864496,26.716537536735242
